tag_name,category,category_description,steel_grade,size,method,outlier_count,outlier_ratio,risk_level,count,direction,filter_removal_rate,detail_1,detail_2
PR6L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),B5,D13,STL,21,14.583333333333334,moderate_residual,144,,,"seasonality=none, strength=0.000",trend_strength=0.000
PR7L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),B5,D13,STL,30,20.833333333333336,high_residual,144,,,"seasonality=none, strength=0.001",trend_strength=0.064
PINCHROLL_2_ACTUAL_SPEED,08_Pinchroll,핀치롤,D4,D10,STL,881,42.19348659003831,high_residual,2088,,,"seasonality=none, strength=0.052",trend_strength=0.680
PINCHROLL_3_ACTUAL_SPEED,08_Pinchroll,핀치롤,D4,D10,STL,725,34.72222222222222,strong_seasonal,2088,,,"seasonality=strong, strength=0.727",trend_strength=0.999
PINCHROLL_4_ACTUAL_SPEED,08_Pinchroll,핀치롤,D4,D10,STL,896,42.911877394636015,high_residual,2088,,,"seasonality=none, strength=0.000",trend_strength=0.982
PINCHROLL_2_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D4,D10,STL,753,36.06321839080459,high_residual,2088,,,"seasonality=none, strength=0.000",trend_strength=0.054
PINCHROLL_3_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D4,D10,STL,818,39.17624521072797,high_residual,2088,,,"seasonality=none, strength=0.000",trend_strength=0.972
PINCHROLL_4_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D4,D10,STL,920,44.06130268199234,high_residual,2088,,,"seasonality=none, strength=0.004",trend_strength=0.896
PINCHROLL_2_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D4,D10,STL,922,44.157088122605366,strong_seasonal,2088,,,"seasonality=strong, strength=0.988",trend_strength=1.000
PINCHROLL_3_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D4,D10,STL,913,43.72605363984675,high_residual,2088,,,"seasonality=none, strength=0.007",trend_strength=0.856
PINCHROLL_4_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D4,D10,STL,821,39.319923371647505,high_residual,2088,,,"seasonality=none, strength=0.000",trend_strength=0.784
PINCHROLL_3_REFERENCE_SPEED,08_Pinchroll,핀치롤,D4,D10,STL,780,37.35632183908046,high_residual,2088,,,"seasonality=weak, strength=0.332",trend_strength=0.997
PINCHROLL_4_REFERENCE_SPEED,08_Pinchroll,핀치롤,D4,D10,STL,858,41.09195402298851,high_residual,2088,,,"seasonality=none, strength=0.000",trend_strength=0.958
PR6L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D4,D10,STL,520,43.333333333333336,high_residual,1200,,,"seasonality=none, strength=0.062",trend_strength=0.893
PR7L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D4,D10,STL,391,32.58333333333333,high_residual,1200,,,"seasonality=none, strength=0.000",trend_strength=0.955
PR6L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D4,D10,STL,387,32.25,high_residual,1200,,,"seasonality=none, strength=0.000",trend_strength=0.923
PR7L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D4,D10,STL,497,41.41666666666667,high_residual,1200,,,"seasonality=none, strength=0.007",trend_strength=0.924
PINCHROLL_2_ACTUAL_SPEED,08_Pinchroll,핀치롤,D4,D13,STL,659,42.90364583333333,high_residual,1536,,,"seasonality=none, strength=0.084",trend_strength=0.941
PINCHROLL_3_ACTUAL_SPEED,08_Pinchroll,핀치롤,D4,D13,STL,679,44.20572916666667,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.856
PINCHROLL_4_ACTUAL_SPEED,08_Pinchroll,핀치롤,D4,D13,STL,429,27.9296875,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.962
PINCHROLL_2_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D4,D13,STL,492,32.03125,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.792
PINCHROLL_3_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D4,D13,STL,608,39.58333333333333,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.708
PINCHROLL_4_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D4,D13,STL,660,42.96875,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.742
PINCHROLL_2_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D4,D13,STL,442,28.776041666666668,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.000
PINCHROLL_3_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D4,D13,STL,548,35.67708333333333,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.865
PINCHROLL_4_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D4,D13,STL,653,42.51302083333333,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.826
PINCHROLL_3_REFERENCE_SPEED,08_Pinchroll,핀치롤,D4,D13,STL,535,34.83072916666667,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.859
PINCHROLL_4_REFERENCE_SPEED,08_Pinchroll,핀치롤,D4,D13,STL,580,37.76041666666667,high_residual,1536,,,"seasonality=none, strength=0.001",trend_strength=0.900
PR6L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,604,39.32291666666667,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.633
PR7L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,640,41.66666666666667,high_residual,1536,,,"seasonality=none, strength=0.028",trend_strength=0.967
PR8L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,693,45.1171875,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.921
PR9L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,560,36.45833333333333,high_residual,1536,,,"seasonality=none, strength=0.017",trend_strength=0.793
PR6L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,489,31.8359375,high_residual,1536,,,"seasonality=none, strength=0.160",trend_strength=0.999
PR7L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,633,41.2109375,high_residual,1536,,,"seasonality=none, strength=0.000",trend_strength=0.946
PR8L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,649,42.25260416666667,high_residual,1536,,,"seasonality=weak, strength=0.308",trend_strength=0.995
PR9L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D4,D13,STL,636,41.40625,high_residual,1536,,,"seasonality=none, strength=0.013",trend_strength=0.922
PINCHROLL_2_ACTUAL_SPEED,08_Pinchroll,핀치롤,D5,D10,STL,1478,38.489583333333336,strong_seasonal,3840,,,"seasonality=strong, strength=0.935",trend_strength=0.927
PINCHROLL_3_ACTUAL_SPEED,08_Pinchroll,핀치롤,D5,D10,STL,1473,38.359375,high_residual,3840,,,"seasonality=moderate, strength=0.695",trend_strength=0.998
PINCHROLL_4_ACTUAL_SPEED,08_Pinchroll,핀치롤,D5,D10,STL,1596,41.5625,high_residual,3840,,,"seasonality=weak, strength=0.319",trend_strength=0.965
PINCHROLL_2_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D5,D10,STL,1712,44.583333333333336,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.946
PINCHROLL_3_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D5,D10,STL,1546,40.260416666666664,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.966
PINCHROLL_4_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D5,D10,STL,1563,40.703125,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.956
PINCHROLL_2_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D5,D10,STL,1455,37.890625,high_residual,3840,,,"seasonality=moderate, strength=0.429",trend_strength=0.978
PINCHROLL_3_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D5,D10,STL,1487,38.723958333333336,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.957
PINCHROLL_4_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D5,D10,STL,1568,40.833333333333336,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.699
PINCHROLL_3_REFERENCE_SPEED,08_Pinchroll,핀치롤,D5,D10,STL,1646,42.864583333333336,high_residual,3840,,,"seasonality=weak, strength=0.252",trend_strength=0.392
PINCHROLL_4_REFERENCE_SPEED,08_Pinchroll,핀치롤,D5,D10,STL,1376,35.833333333333336,strong_seasonal,3840,,,"seasonality=strong, strength=0.809",trend_strength=0.987
PR6L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1655,43.09895833333333,high_residual,3840,,,"seasonality=weak, strength=0.311",trend_strength=0.965
PR6L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1667,43.411458333333336,high_residual,3840,,,"seasonality=none, strength=0.010",trend_strength=0.970
PR7L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1590,41.40625,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.884
PR7L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1411,36.744791666666664,high_residual,3840,,,"seasonality=none, strength=0.002",trend_strength=0.973
PR8L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1475,38.41145833333333,high_residual,3840,,,"seasonality=none, strength=0.016",trend_strength=0.970
PR9L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1565,40.75520833333333,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.963
PR6L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1582,41.197916666666664,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.963
PR6L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1607,41.848958333333336,high_residual,3840,,,"seasonality=none, strength=0.003",trend_strength=0.988
PR7L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1557,40.546875,high_residual,3840,,,"seasonality=none, strength=0.099",trend_strength=0.955
PR7L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1515,39.453125,high_residual,3840,,,"seasonality=none, strength=0.000",trend_strength=0.968
PR8L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1612,41.979166666666664,high_residual,3840,,,"seasonality=none, strength=0.132",trend_strength=0.974
PR9L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D10,STL,1357,35.338541666666664,high_residual,3840,,,"seasonality=none, strength=0.052",trend_strength=0.961
PINCHROLL_2_ACTUAL_SPEED,08_Pinchroll,핀치롤,D5,D13,STL,888,40.29038112522686,high_residual,2204,,,"seasonality=weak, strength=0.211",trend_strength=0.999
PINCHROLL_3_ACTUAL_SPEED,08_Pinchroll,핀치롤,D5,D13,STL,898,40.74410163339383,high_residual,2204,,,"seasonality=weak, strength=0.261",trend_strength=0.987
PINCHROLL_4_ACTUAL_SPEED,08_Pinchroll,핀치롤,D5,D13,STL,943,42.78584392014519,high_residual,2204,,,"seasonality=weak, strength=0.362",trend_strength=0.999
PINCHROLL_2_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D5,D13,STL,1044,47.368421052631575,high_residual,2204,,,"seasonality=moderate, strength=0.612",trend_strength=0.701
PINCHROLL_3_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D5,D13,STL,967,43.87477313974591,high_residual,2204,,,"seasonality=none, strength=0.000",trend_strength=0.856
PINCHROLL_4_ACTUAL_TORQUE,08_Pinchroll,핀치롤,D5,D13,STL,965,43.78402903811252,high_residual,2204,,,"seasonality=none, strength=0.000",trend_strength=0.882
PINCHROLL_2_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D5,D13,STL,963,43.693284936479124,high_residual,2204,,,"seasonality=none, strength=0.078",trend_strength=1.000
PINCHROLL_3_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D5,D13,STL,923,41.87840290381125,high_residual,2204,,,"seasonality=none, strength=0.000",trend_strength=0.861
PINCHROLL_4_REFERENCE_TORQUE,08_Pinchroll,핀치롤,D5,D13,STL,872,39.56442831215971,high_residual,2204,,,"seasonality=none, strength=0.000",trend_strength=0.989
PINCHROLL_3_REFERENCE_SPEED,08_Pinchroll,핀치롤,D5,D13,STL,840,38.11252268602541,high_residual,2204,,,"seasonality=none, strength=0.024",trend_strength=0.974
PINCHROLL_4_REFERENCE_SPEED,08_Pinchroll,핀치롤,D5,D13,STL,744,33.756805807622506,high_residual,2204,,,"seasonality=none, strength=0.000",trend_strength=0.999
PR6L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,897,40.71720381298229,high_residual,2203,,,"seasonality=none, strength=0.002",trend_strength=0.249
PR6L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,952,43.213799364502954,high_residual,2203,,,"seasonality=none, strength=0.185",trend_strength=0.999
PR7L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,856,38.856105310939625,high_residual,2203,,,"seasonality=none, strength=0.000",trend_strength=0.748
PR7L2_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,736,33.40898774398548,high_residual,2203,,,"seasonality=none, strength=0.000",trend_strength=0.952
PR8L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,1001,45.4380390376759,high_residual,2203,,,"seasonality=none, strength=0.000",trend_strength=0.000
PR9L1_ACT_TORQUE,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,815,36.99500680889696,high_residual,2203,,,"seasonality=none, strength=0.000",trend_strength=0.969
PR6L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,923,41.8974126191557,high_residual,2203,,,"seasonality=none, strength=0.000",trend_strength=0.999
PR6L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,836,37.94825238311393,high_residual,2203,,,"seasonality=moderate, strength=0.432",trend_strength=1.000
PR7L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,875,39.718565592374034,high_residual,2203,,,"seasonality=none, strength=0.065",trend_strength=0.963
PR7L2_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,987,44.802541988197916,strong_seasonal,2203,,,"seasonality=strong, strength=0.993",trend_strength=1.000
PR8L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,962,43.6677258284158,high_residual,2203,,,"seasonality=none, strength=0.022",trend_strength=0.944
PR9L1_ACT_SPD_MS,09_PR_Detailed,PR 상세 (토크+속도),D5,D13,STL,929,42.169768497503405,high_residual,2203,,,"seasonality=none, strength=0.142",trend_strength=0.973
PINCHROLL_2_ACTUAL_SPEED,08_Pinchroll,핀치롤,N5,D10,STL,318,23.24561403508772,high_residual,1368,,,"seasonality=none, strength=0.000",trend_strength=0.950
PINCHROLL_3_ACTUAL_SPEED,08_Pinchroll,핀치롤,N5,D10,STL,553,40.42397660818713,high_residual,1368,,,"seasonality=none, strength=0.011",trend_strength=0.972
PINCHROLL_4_ACTUAL_SPEED,08_Pinchroll,핀치롤,N5,D10,STL,459,33.55263157894737,high_residual,1368,,,"seasonality=none, strength=0.013",trend_strength=0.951
